[11/100][300/1000] Loss_D:0.8233 | Loss_G:1.8859
[11/100][350/1000] Loss_D:0.4718 | Loss_G:3.3918
[11/100][400/1000] Loss_D:0.3225 | Loss_G:3.5255
[11/100][450/1000] Loss_D:0.5497 | Loss_G:4.9979
[11/100][500/1000] Loss_D:0.4017 | Loss_G:4.5864
[11/100][550/1000] Loss_D:0.3450 | Loss_G:2.4751
[11/100][600/1000] Loss_D:0.4291 | Loss_G:2.9717
[11/100][650/1000] Loss_D:1.3364 | Loss_G:1.3787
[11/100][700/1000] Loss_D:0.2342 | Loss_G:2.6741
[11/100][750/1000] Loss_D:1.2867 | Loss_G:1.5486
[11/100][800/1000] Loss_D:0.6746 | Loss_G:3.6085
[11/100][850/1000] Loss_D:0.1757 | Loss_G:4.0216
[11/100][900/1000] Loss_D:1.0593 | Loss_G:1.5931
[11/100][950/1000] Loss_D:0.5092 | Loss_G:5.3396
[12/100][0/1000] Loss_D:0.2871 | Loss_G:3.2217
[12/100][50/1000] Loss_D:0.4951 | Loss_G:3.2644
[12/100][100/1000] Loss_D:0.3571 | Loss_G:3.3870
[12/100][150/1000] Loss_D:0.2138 | Loss_G:3.1015
[12/100][200/1000] Loss_D:0.2924 | Loss_G:2.3925
[12/100][250/1000] Loss_D:0.6605 | Loss_G:1.6665
[12/100][300/1000] Loss_D:0.6345 | Loss_G:2.1845
[12/100][350/1000] Loss_D:0.4445 | Loss_G:1.7285
[12/100][400/1000] Loss_D:0.2621 | Loss_G:3.1587
[12/100][450/1000] Loss_D:0.2411 | Loss_G:3.3574
[12/100][500/1000] Loss_D:0.6387 | Loss_G:4.0028
[12/100][550/1000] Loss_D:0.2985 | Loss_G:3.8657
[12/100][600/1000] Loss_D:0.6630 | Loss_G:2.7413
[12/100][650/1000] Loss_D:0.1738 | Loss_G:2.9359
[12/100][700/1000] Loss_D:1.0382 | Loss_G:1.0680
[12/100][750/1000] Loss_D:1.0837 | Loss_G:3.7705
[12/100][800/1000] Loss_D:0.4356 | Loss_G:3.1326
[12/100][850/1000] Loss_D:0.3137 | Loss_G:3.8056
